City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
4,Lampazos De Naranjo,MX,87.85,clear sky,27.0167,-100.5167,Hotel Lampazos
9,Kapaa,US,80.92,overcast clouds,22.0752,-159.319,Pono Kai Resort
11,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti International Resort
13,Rikitea,PF,78.28,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
14,Hithadhoo,MV,80.69,broken clouds,-0.6,73.0833,Pebbles Inn
17,Los Andes,CL,82.0,clear sky,-32.8337,-70.5983,Hotel Gloria
20,Pontianak,ID,75.18,mist,-0.0333,109.3333,Golden Tulip Hotel
21,Omboue,GA,77.86,moderate rain,-1.5746,9.2618,Georges Faustin Aurat
22,Puerto Leguizamo,CO,84.9,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
37,Geraldton,AU,82.81,broken clouds,-28.7667,114.6,Ocean Centre Hotel
44,Nouakchott,MR,75.13,few clouds,18.0858,-15.9785,فندق أدرار
45,Oranjestad,AW,81.91,clear sky,12.524,-70.027,Hotel California
55,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
58,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Dory's House
77,Cape Town,ZA,77.38,clear sky,-33.9258,18.4232,Townhouse Hotel
80,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Grand Bel Air
81,Chuy,UY,75.09,few clouds,-33.6971,-53.4616,Alerces
83,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,No hotel found
84,Moindou,NC,76.77,few clouds,-21.6924,165.677,No hotel found
85,Butaritari,KI,80.76,overcast clouds,3.0707,172.7902,No hotel found
86,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
90,Miri,MY,75.34,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
91,Touros,BR,79.61,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
93,Buala,SB,80.42,light rain,-8.145,159.5921,No hotel found
98,Carauari,BR,82.26,scattered clouds,-4.8828,-66.8958,No hotel found
99,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,No hotel found
107,Diego De Almagro,CL,78.1,clear sky,-26.3667,-70.05,Residencial Hambyll
110,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
111,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,losmen Surya
116,Kavaratti,IN,80.1,few clouds,10.5669,72.642,No hotel found
120,Paracuru,BR,81.1,broken clouds,-3.41,-39.0306,Pousada Sol e Lua
121,Coahuayana,MX,85.78,scattered clouds,18.7333,-103.6833,No hotel found
132,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
134,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Aurora Alice Springs
139,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
141,San Patricio,US,85.17,scattered clouds,28.017,-97.5169,No hotel found
142,Atuona,PF,78.78,scattered clouds,-9.8,-139.0333,Pearl Resort
145,Waingapu,ID,77.68,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
150,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
165,Muisne,EC,79.36,broken clouds,0.6,-80.0333,Hostal Té de Menta
